name,parent,value
Origin,,
Arsenal,Origin,1
Barcelona,Origin,3
Getafe,Origin,1
Liverpool,Origin,4
Mallorca,Origin,2
Real Betis,Origin,1
Real Madrid,Origin,2
Sevilla,Origin,1
Valencia,Origin,4
Villarreal,Origin,3
Zaragoza,Origin,1
